Id,Family,Tribe,Genus,Subgenus,"Specific epithet ",Scientific name authorship,Body size class,"ITDmeasured ",Mhd,Thd,Mfd,Mcd,Location of measured specimen,Known distribution,"New record ",Locality,"Crop pollinator ",Sociality,Nest location,Level,"Ref. "
1,Andrenidae,Calliopsini,Acamptopoeum,NA,prinii,"Holmberg, 1884 ",small,1.8,0.29067,0.14222,0.6425,0.49146,MPEG,"Argentina (Buenos Aires, Catamarca, Córdoba, Entre Rios, La Pampa, La Rioja, Misiones, Salta, Santa Fé, Santiago del Estero, Tucumán); Brazil (Ceará, Maranhao, Minas Gerais, Pará, Rio de Janeiro, São Paulo); Colombia (Casanare, Cundinamarca); Uruguay (Colonia)",no,bocaina,yes,Solitary,soil,species,"Rozen, J. G., Jr. & Yanega, D. (1999). Nesting biology and immature stages of the South American bee genus Acamptopoeum (Hymenoptera: Andrenidae: Panurginae). Univ. Kansas Mus. Nat. Hist. Spec. Publ. 24: 59-67"
2,Andrenidae,Calliopsini,Acamptopoeum,NA,prinii,"Holmberg, 1884 ",small,1.8,0.29067,0.14222,0.6425,0.49146,MPEG,"Argentina (Buenos Aires, Catamarca, Córdoba, Entre Rios, La Pampa, La Rioja, Misiones, Salta, Santa Fé, Santiago del Estero, Tucumán); Brazil (Ceará, Maranhao, Minas Gerais, Pará, Rio de Janeiro, São Paulo); Colombia (Casanare, Cundinamarca); Uruguay (Colonia)",no,carajas,yes,Solitary,soil,species,"Rozen, J. G., Jr. & Yanega, D. (1999). Nesting biology and immature stages of the South American bee genus Acamptopoeum (Hymenoptera: Andrenidae: Panurginae). Univ. Kansas Mus. Nat. Hist. Spec. Publ. 24: 59-67"
3,Andrenidae,Calliopsini,Acamptopoeum,NA,prinii,"Holmberg, 1884 ",small,1.8,0.29067,0.14222,0.6425,0.49146,MPEG,"Argentina (Buenos Aires, Catamarca, Córdoba, Entre Rios, La Pampa, La Rioja, Misiones, Salta, Santa Fé, Santiago del Estero, Tucumán); Brazil (Ceará, Maranhao, Minas Gerais, Pará, Rio de Janeiro, São Paulo); Colombia (Casanare, Cundinamarca); Uruguay (Colonia)",no,nova lima,yes,Solitary,soil,species,"Rozen, J. G., Jr. & Yanega, D. (1999). Nesting biology and immature stages of the South American bee genus Acamptopoeum (Hymenoptera: Andrenidae: Panurginae). Univ. Kansas Mus. Nat. Hist. Spec. Publ. 24: 59-67"
4,Apidae,Ericrocidini,Acanthopus,NA,palmatus,"Olivier, 1789",large,5.1,10.43954,4.47654,7.52679,9.54346,MPEG,"Brazil (Amapá, Amazonas, Maranhão, Mato Grosso, Pará); French Guiana (Cayenne); Trinidad and Tobago",yes,carajas,no,Cleptoparasitic,soil,species,"Gaglianone, M. C. (2001). Nesting biology and foraging behavior of Centris (Ptilotopus) scopipes Friese (Hymenoptera, Apidae). Ver. Bras. Zoo. 18: 107-117."
5,Halictidae,Halictini,Agapostemon,Notagapostemon,chapadensis,"Cockerell, 1900",medium,2.2,0.61602,0.29318,1.07652,0.91553,UFMG,"Bolivia; Brazil (Bahia, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraná, Rio Grande do Sul, Santa Catarina, São Paulo); Paraguay",no,nova lima,no,Solitary,soil,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
6,Apidae,Euglossini,Aglae,NA,caerulea,"Lepeletier&Serville, 1825",large,5.2,10.85873,4.64954,7.73319,9.85978,MPEG,"Bolivia; Brazil (Amapá, Amazonas, Pará); Colombia; French Guiana (Cayenne); Guyana; Peru; Venezuela",yes,carajas,no,Cleptoparasitic,soil,species,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
7,Apidae,Emphorini,Alepidosceles,NA,imitatrix,"Schrottky, 1909",medium,2.5,0.8972,0.42113,1.3939,1.25005,UFMG,"Argentina (Catamarca, Corrientes, Entre Rios, La Rioja, Mendoza, Misiones, San Juan, Tucumán); Brazil (Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, São Paulo); Paraguay (Alto Paraguay)",yes,canaa dos carajas,no,Solitary,soil,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
8,Apidae,Emphorini,Ancyloscelis,NA,apiformis,"Fabricius, 1793",small,2,0.46218,0.2223,0.88364,0.72164,MPEG,"Argentina (Buenos Aires, Córdoba, Entre Rios, Jujuy, La Rioja, Mendoza, Misiones, Salta, San Juan, San Luis, Tucumán); Brazil (Amapá, Ceará, Maranhão, Pará, São Paulo); Guatemala; Honduras; Mexico (Yucatan); Panama; Paraguay (Alto Paraguay, Central, Guairá); Peru (Huánuco, La Libertad); Uruguay (Montevideo)",yes,canaa dos carajas,no,Solitary,soil,species,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
9,Apidae,Emphorini,Ancyloscelis,NA,apiformis,"Fabricius, 1793",small,2,0.46218,0.2223,0.88364,0.72164,MPEG,"Argentina (Buenos Aires, Córdoba, Entre Rios, Jujuy, La Rioja, Mendoza, Misiones, Salta, San Juan, San Luis, Tucumán); Brazil (Amapá, Ceará, Maranhão, Pará, São Paulo); Guatemala; Honduras; Mexico (Yucatan); Panama; Paraguay (Alto Paraguay, Central, Guairá); Peru (Huánuco, La Libertad); Uruguay (Montevideo)",yes,nova lima,no,Solitary,soil,species,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
10,Apidae,Anthophorini,Anthophora,Mystacanthophora,paranensis,"Holmberg, 1903",medium,3.6,3.3548,1.5,3.45007,3.72693,UFMG,"Argentina (Buenos Aires, Catamarca, Chaco, Entre Rios, Jujuy, Mendoza, Misiones, Salta, Tucumán); Brazil (Minas Gerais, Paraná, São Paulo)",no,nova lima,no,Solitary,soil,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
